,Comments,Translate,Subjectivity,Polarity,Subject Label,Analysis
0,Sehidup semati sejiwa setanah air setanah sangket seRT seProvinsi sefrekuensi dan sebagainya,"As alive and as dead as one soul, a country of water, a land of Sangket and a province with a frequency and so on",0.4,-0.05,Teks tersebut netral,Negative
1, __edopermata Batua Bana nah bg tapi awak antah bilo ,__edopermata Batua Bana nah bg but you are in the middle of bilo,0.0,0.0,Teks tersebut sangat objektif,Neutral
2, __edopermata bacot kau bangggg,__edopermata bastard you're proud,1.0,0.8,Teks tersebut sangat subjektif,Positive
3,Wahh kakak iparr,Wow sister iparr,1.0,0.1,Teks tersebut sangat subjektif,Positive
4, rahmahwatiprimadhani_ wkwkwk nanti d kenalin yaaa,rahmahwatiprimadhani_ hahaha I'll introduce you later,0.2,0.1,Teks tersebut cenderung objektif,Positive
5,Wkwkwkwk kelazzz,Wwkwkwk kelazzz,0.0,0.0,Teks tersebut sangat objektif,Neutral
6,Gagah rembut mah,My hair is brave,1.0,0.8,Teks tersebut sangat subjektif,Positive
7, hernandoscrespo bulu jem ut bang wkwkwkw,hernandoscrespo hair jam,0.0,0.0,Teks tersebut sangat objektif,Neutral
8,  ,,0.0,0.0,Teks tersebut sangat objektif,Neutral
9, annisa_yolaaa woii_ ,annisa_yolaaa wow_,1.0,0.1,Teks tersebut sangat subjektif,Positive
